jma-receipt-docker-for-ubuntu-2204-db-1	postgres:10	Up 23 hours (healthy)
jma-receipt-docker-for-ubuntu-2204-orca-1	jma-receipt-weborca:22.04	Up 23 hours
monshinmate-backend-1	monshinmate-backend	Up 3 minutes
monshinmate-couchdb-1	couchdb:3	Up 3 minutes (healthy)
monshinmate-frontend-1	monshinmate-frontend	Up 3 minutes
opendolphin-minio	minio/minio:latest	Up About a minute (healthy)
opendolphin-postgres	postgres:14	Up About a minute (healthy)
opendolphin-postgres-modernized	postgres:14	Up About a minute (healthy)
opendolphin-server	legacy-vs-modern-server	Up About a minute (healthy)
opendolphin-server-modernized-dev	legacy-vs-modern-server-modernized-dev	Up About a minute (healthy)
