id,event_time,action,resource,patient_id,request_id,actor_id,trace_id,payload
253787,2025-12-27 00:36:06.389142+09,PHR_ACCESS_KEY_FETCH,/openDolphin/resources/20/adm/phr/accessKey/PHR-NOT-FOUND-20251226T153311Z,,req-404-20251226T153311Z,1.3.6.1.4.1.9414.10.1:dolphindev,trace-4xx-404-20251226T153311Z,"{""accessKeySuffix"":""311Z"",""traceId"":""trace-4xx-404-20251226T153311Z"",""reason"":""Not Found"",""facilityId"":""1.3.6.1.4.1.9414.10.1"",""httpStatus"":404,""errorMessage"":""指定されたアクセスキーが見つかりません。"",""errorCode"":""Not Found"",""exceptionClass"":""WebApplicationException"",""error"":""WebApplicationException"",""userId"":""dolphindev"",""status"":""failed""}"
253788,2025-12-27 00:36:07.140406+09,REST_ERROR_RESPONSE,/openDolphin/resources/20/adm/phr/accessKey/PHR-NOT-FOUND-20251226T153311Z,,trace-4xx-404-20251226T153311Z,1.3.6.1.4.1.9414.10.1:dolphindev,trace-4xx-404-20251226T153311Z,"{""reason"":""http_404"",""errorCode"":""http_404"",""facilityId"":""1.3.6.1.4.1.9414.10.1"",""httpStatus"":404,""status"":""failed""}"
253789,2025-12-27 00:36:08.223761+09,PHR_ACCESS_KEY_UPSERT,/openDolphin/resources/20/adm/phr/accessKey,,req-400-20251226T153311Z,1.3.6.1.4.1.9414.10.1:dolphindev,trace-4xx-400-20251226T153311Z,"{""traceId"":""trace-4xx-400-20251226T153311Z"",""reason"":""invalid_payload"",""facilityId"":""1.3.6.1.4.1.9414.10.1"",""httpStatus"":400,""errorMessage"":""Unexpected end-of-input: expected close marker for Object (start marker at [Source: (String)\""{\""; line: 1, column: 1])\n at [Source: (String)\""{\""; line: 1, column: 2]"",""errorCode"":""invalid_payload"",""exceptionClass"":""JsonEOFException"",""error"":""JsonEOFException"",""userId"":""dolphindev"",""status"":""failed""}"
253790,2025-12-27 00:36:08.300789+09,REST_ERROR_RESPONSE,/openDolphin/resources/20/adm/phr/accessKey,,trace-4xx-400-20251226T153311Z,1.3.6.1.4.1.9414.10.1:dolphindev,trace-4xx-400-20251226T153311Z,"{""reason"":""http_400"",""facilityId"":""1.3.6.1.4.1.9414.10.1"",""httpStatus"":400,""errorCode"":""http_400"",""validationError"":true,""status"":""failed""}"
253791,2025-12-27 00:36:08.984105+09,PHR_IDENTITY_TOKEN,/20/adm/phr,,trace-5xx-503-20251226T153311Z,unknown,trace-5xx-503-20251226T153311Z,"{""traceId"":""trace-5xx-503-20251226T153311Z"",""reason"":""identity_token_unavailable"",""actorId"":""unknown"",""actorDisplayName"":""unknown"",""httpStatus"":503,""errorMessage"":""Identity トークンの署名鍵が利用できません。"",""errorCode"":""identity_token_unavailable"",""exceptionClass"":""WebApplicationException"",""missingBody"":true,""error"":""WebApplicationException"",""status"":""failed""}"
