   id   |          event_time           |         action         | run_id |             actor_id             |                     resource                      |               trace_id               |              request_id              | outcome |                                                                                                                                                 payload_head                                                                                                                                                 
 263753 | 2026-02-07 17:51:19.812403+09 | REST_ERROR_RESPONSE    |        | 1.3.6.1.4.1.9414.72.103:doctor1  | /openDolphin/resources/orca/order/bundles         | c08e7730-5a5a-4337-bb61-603112e59373 | c08e7730-5a5a-4337-bb61-603112e59373 | FAILURE | {"reason":"patient_not_found","facilityId":"1.3.6.1.4.1.9414.72.103","httpStatus":404,"errorMessage":"Patient not found","errorCode":"patient_not_found","facilityIdHeader":"1.3.6.1.4.1.9414.72.103","status":"failed"}
 263751 | 2026-02-07 17:51:19.067585+09 | REST_ERROR_RESPONSE    |        | 1.3.6.1.4.1.9414.72.103:doctor1  | /openDolphin/resources/orca/order/bundles         | 0ab5a7b1-706c-4206-9b84-1322a65d8de3 | 0ab5a7b1-706c-4206-9b84-1322a65d8de3 | FAILURE | {"reason":"patient_not_found","facilityId":"1.3.6.1.4.1.9414.72.103","httpStatus":404,"errorMessage":"Patient not found","errorCode":"patient_not_found","facilityIdHeader":"1.3.6.1.4.1.9414.72.103","status":"failed"}
 263749 | 2026-02-07 17:51:13.084793+09 | REST_ERROR_RESPONSE    |        | 1.3.6.1.4.1.9414.72.103:doctor1  | /openDolphin/resources/orca/order/bundles         | ee6f0659-3900-472c-a68a-f60b9bfc901d | ee6f0659-3900-472c-a68a-f60b9bfc901d | FAILURE | {"reason":"patient_not_found","facilityId":"1.3.6.1.4.1.9414.72.103","httpStatus":404,"errorMessage":"Patient not found","errorCode":"patient_not_found","facilityIdHeader":"1.3.6.1.4.1.9414.72.103","status":"failed"}
 263747 | 2026-02-07 17:50:22.231193+09 | REST_ERROR_RESPONSE    |        | 1.3.6.1.4.1.9414.10.1:dolphindev | /openDolphin/resources/patients/P0002/images      | b61f7922-0c4c-4f25-a5d0-79c772ba4584 | b61f7922-0c4c-4f25-a5d0-79c772ba4584 | FAILURE | {"retryable":true,"reason":"internal_server_error","facilityId":"1.3.6.1.4.1.9414.10.1","httpStatus":500,"errorMessage":"Session layer failure in open.dolphin.session.PatientImageServiceBean$Proxy$_$$_WeldSubclass#uploadImage","errorCode":"internal_server_error","status":"failed"}
 263744 | 2026-02-07 17:46:45.776162+09 | REST_ERROR_RESPONSE    |        | 1.3.6.1.4.1.9414.72.103:doctor1  | /openDolphin/resources/orca/order/bundles         | 8934d16c-310c-41ed-90e0-ce06e7996ba2 | 8934d16c-310c-41ed-90e0-ce06e7996ba2 | FAILURE | {"reason":"patient_not_found","facilityId":"1.3.6.1.4.1.9414.72.103","httpStatus":404,"errorMessage":"Patient not found","errorCode":"patient_not_found","facilityIdHeader":"1.3.6.1.4.1.9414.72.103","status":"failed"}
 263742 | 2026-02-07 17:46:45.153711+09 | REST_ERROR_RESPONSE    |        | 1.3.6.1.4.1.9414.72.103:doctor1  | /openDolphin/resources/orca/order/bundles         | trace-20251212T143720Z               | trace-20251212T143720Z               | FAILURE | {"reason":"patient_not_found","facilityId":"1.3.6.1.4.1.9414.72.103","httpStatus":404,"errorMessage":"Patient not found","errorCode":"patient_not_found","facilityIdHeader":"1.3.6.1.4.1.9414.72.103","status":"failed"}
 263740 | 2026-02-07 17:46:23.296153+09 | REST_ERROR_RESPONSE    |        | 1.3.6.1.4.1.9414.72.103:doctor1  | /openDolphin/resources/orca/order/bundles         | 85c3b713-e3cb-43ac-a4f4-f7d49138af37 | 85c3b713-e3cb-43ac-a4f4-f7d49138af37 | FAILURE | {"reason":"patient_not_found","facilityId":"1.3.6.1.4.1.9414.72.103","httpStatus":404,"errorMessage":"Patient not found","errorCode":"patient_not_found","facilityIdHeader":"1.3.6.1.4.1.9414.72.103","status":"failed"}
 263738 | 2026-02-07 17:46:22.460357+09 | REST_ERROR_RESPONSE    |        | 1.3.6.1.4.1.9414.72.103:doctor1  | /openDolphin/resources/orca/order/bundles         | 8bd23a45-ca11-4d91-a918-2f93f3632fb1 | 8bd23a45-ca11-4d91-a918-2f93f3632fb1 | FAILURE | {"reason":"patient_not_found","facilityId":"1.3.6.1.4.1.9414.72.103","httpStatus":404,"errorMessage":"Patient not found","errorCode":"patient_not_found","facilityIdHeader":"1.3.6.1.4.1.9414.72.103","status":"failed"}
 263736 | 2026-02-07 17:46:13.775109+09 | REST_ERROR_RESPONSE    |        | 1.3.6.1.4.1.9414.72.103:doctor1  | /openDolphin/resources/orca/order/bundles         | 02aa95a4-72a3-40ec-adb6-b5158a0250ca | 02aa95a4-72a3-40ec-adb6-b5158a0250ca | FAILURE | {"reason":"patient_not_found","facilityId":"1.3.6.1.4.1.9414.72.103","httpStatus":404,"errorMessage":"Patient not found","errorCode":"patient_not_found","facilityIdHeader":"1.3.6.1.4.1.9414.72.103","status":"failed"}
 263560 | 2026-02-07 09:24:47.651285+09 | REST_ERROR_RESPONSE    |        | 1.3.6.1.4.1.9414.72.103:doctor1  | /openDolphin/resources/karte/revisions/revise     | 355d1681-8d7b-4914-8571-ccecb1afbede | 355d1681-8d7b-4914-8571-ccecb1afbede | FAILURE | {"reason":"REVISION_CONFLICT","facilityId":"1.3.6.1.4.1.9414.72.103","errorMessage":"baseRevisionId does not match latestRevisionId","errorCode":"REVISION_CONFLICT","facilityIdHeader":"1.3.6.1.4.1.9414.72.103","rootRevisionId":9192,"baseRevisionId":9206,"sourceRevisionId":9210,"karteId":9058,"httpSt
 263502 | 2026-02-07 09:24:44.744461+09 | REST_ERROR_RESPONSE    |        | 1.3.6.1.4.1.9414.72.103:doctor1  | /openDolphin/resources/api01rv2/pusheventgetv2    | 355d1681-8d7b-4914-8571-ccecb1afbede | 355d1681-8d7b-4914-8571-ccecb1afbede | FAILURE | {"retryable":true,"reason":"internal_server_error","facilityId":"1.3.6.1.4.1.9414.72.103","httpStatus":500,"errorMessage":"could not execute statement [ERROR: value too long for type character varying(64)] [insert into d_audit_event (action,actor_display_name,actor_id,actor_role,event_hash,event_tim
 263499 | 2026-02-07 09:24:44.734199+09 | REST_ERROR_RESPONSE    |        | 1.3.6.1.4.1.9414.72.103:doctor1  | /openDolphin/resources/orca/visits/list           | 355d1681-8d7b-4914-8571-ccecb1afbede | 355d1681-8d7b-4914-8571-ccecb1afbede | FAILURE | {"retryable":true,"reason":"internal_server_error","facilityId":"1.3.6.1.4.1.9414.72.103","httpStatus":500,"errorMessage":"Session layer failure in open.dolphin.orca.rest.OrcaVisitResource$Proxy$_$$_WeldSubclass#visitList","errorCode":"internal_server_error","facilityIdHeader":"1.3.6.1.4.1.9414.72.1
 263496 | 2026-02-07 09:24:44.671905+09 | REST_ERROR_RESPONSE    |        | 1.3.6.1.4.1.9414.72.103:doctor1  | /openDolphin/resources/orca/visits/list           | 355d1681-8d7b-4914-8571-ccecb1afbede | 355d1681-8d7b-4914-8571-ccecb1afbede | FAILURE | {"retryable":true,"reason":"internal_server_error","facilityId":"1.3.6.1.4.1.9414.72.103","httpStatus":500,"errorMessage":"Session layer failure in open.dolphin.orca.rest.OrcaVisitResource$Proxy$_$$_WeldSubclass#visitList","errorCode":"internal_server_error","facilityIdHeader":"1.3.6.1.4.1.9414.72.1
 263493 | 2026-02-07 09:24:44.64408+09  | REST_ERROR_RESPONSE    |        | 1.3.6.1.4.1.9414.72.103:doctor1  | /openDolphin/resources/orca/appointments/list     | 355d1681-8d7b-4914-8571-ccecb1afbede | 355d1681-8d7b-4914-8571-ccecb1afbede | FAILURE | {"retryable":true,"reason":"internal_server_error","facilityId":"1.3.6.1.4.1.9414.72.103","httpStatus":500,"errorMessage":"Session layer failure in open.dolphin.orca.rest.OrcaAppointmentResource$Proxy$_$$_WeldSubclass#listAppointments","errorCode":"internal_server_error","facilityIdHeader":"1.3.6.1.
 263490 | 2026-02-07 09:24:44.627132+09 | REST_ERROR_RESPONSE    |        | 1.3.6.1.4.1.9414.72.103:doctor1  | /openDolphin/resources/orca/appointments/list     | 355d1681-8d7b-4914-8571-ccecb1afbede | 355d1681-8d7b-4914-8571-ccecb1afbede | FAILURE | {"retryable":true,"reason":"internal_server_error","facilityId":"1.3.6.1.4.1.9414.72.103","httpStatus":500,"errorMessage":"Session layer failure in open.dolphin.orca.rest.OrcaAppointmentResource$Proxy$_$$_WeldSubclass#listAppointments","errorCode":"internal_server_error","facilityIdHeader":"1.3.6.1.
 263487 | 2026-02-07 09:24:44.135489+09 | REST_ERROR_RESPONSE    |        | 1.3.6.1.4.1.9414.72.103:doctor1  | /openDolphin/resources/orca/disease/import/01415  | 355d1681-8d7b-4914-8571-ccecb1afbede | 355d1681-8d7b-4914-8571-ccecb1afbede | FAILURE | {"retryable":true,"reason":"internal_server_error","facilityId":"1.3.6.1.4.1.9414.72.103","httpStatus":500,"errorMessage":"could not execute statement [ERROR: value too long for type character varying(64)] [insert into d_audit_event (action,actor_display_name,actor_id,actor_role,event_hash,event_tim
 263465 | 2026-02-07 09:13:16.247477+09 | REST_ERROR_RESPONSE    |        | 1.3.6.1.4.1.9414.10.1:dolphindev | /openDolphin/resources/karte/revisions/revise     | 1af62c5b-3f3f-4690-becf-5f39d8c8dbc7 | 1af62c5b-3f3f-4690-becf-5f39d8c8dbc7 | FAILURE | {"reason":"REVISION_CONFLICT","facilityId":"1.3.6.1.4.1.9414.10.1","errorMessage":"baseRevisionId does not match latestRevisionId","errorCode":"REVISION_CONFLICT","rootRevisionId":9192,"baseRevisionId":9202,"sourceRevisionId":9192,"karteId":9058,"httpStatus":409,"latestRevisionId":9206,"visitDate":"
 263463 | 2026-02-07 09:13:16.214591+09 | REST_ERROR_RESPONSE    |        | 1.3.6.1.4.1.9414.10.1:dolphindev | /openDolphin/resources/karte/revisions/revise     | a3a2f150-0008-4e42-86c2-d1e129742892 | a3a2f150-0008-4e42-86c2-d1e129742892 | FAILURE | {"reason":"REVISION_CONFLICT","facilityId":"1.3.6.1.4.1.9414.10.1","errorMessage":"baseRevisionId does not match latestRevisionId","errorCode":"REVISION_CONFLICT","rootRevisionId":9192,"baseRevisionId":9202,"sourceRevisionId":9192,"karteId":9058,"httpStatus":409,"latestRevisionId":9206,"visitDate":"
 263461 | 2026-02-07 09:13:16.168018+09 | REST_ERROR_RESPONSE    |        | 1.3.6.1.4.1.9414.10.1:dolphindev | /openDolphin/resources/karte/revisions/restore    | e6b8dea7-b054-49dd-a920-3158105db8da | e6b8dea7-b054-49dd-a920-3158105db8da | FAILURE | {"reason":"REVISION_CONFLICT","facilityId":"1.3.6.1.4.1.9414.10.1","errorMessage":"baseRevisionId does not match latestRevisionId","errorCode":"REVISION_CONFLICT","rootRevisionId":9192,"baseRevisionId":9204,"sourceRevisionId":9202,"karteId":9058,"httpStatus":409,"latestRevisionId":9206,"visitDate":"
 263456 | 2026-02-07 09:13:16.030888+09 | REST_ERROR_RESPONSE    |        | 1.3.6.1.4.1.9414.10.1:dolphindev | /openDolphin/resources/karte/revisions/revise     | fe3ff757-ea7d-4dca-8e57-f7af38f3267e | fe3ff757-ea7d-4dca-8e57-f7af38f3267e | FAILURE | {"reason":"REVISION_CONFLICT","facilityId":"1.3.6.1.4.1.9414.10.1","errorMessage":"baseRevisionId does not match latestRevisionId","errorCode":"REVISION_CONFLICT","rootRevisionId":9192,"baseRevisionId":9202,"sourceRevisionId":9192,"karteId":9058,"httpStatus":409,"latestRevisionId":9204,"visitDate":"
(30 rows)

