id,user_pk,challenge_type,request_id,created_at,expires_at
4,9002,FIDO2_ASSERTION,1427627e-18ac-4185-860b-f801969a8f2e,2025-11-13 07:36:32.59707+09,2025-11-13 07:41:32.59707+09
3,9002,FIDO2_REGISTRATION,ca98b40b-48e7-4e1c-b58c-a23539b66561,2025-11-13 07:36:32.375537+09,2025-11-13 07:41:32.375537+09
