name,matchCount,totalFields,matchRate
orca05-generic-price,7,7,1
orca05-youhou,6,6,1
orca05-material,9,9,1
orca05-kensa-sort,6,6,1
orca06-hokenja,9,9,1
orca06-address,7,7,1
orca08-etensu,7,7,1
