kanrino|bigint||NO
jancd|character varying|13|YES
snamecd|smallint||YES
kikakucd|smallint||YES
srycd|character|9|YES
companycd1|smallint||YES
companycd2|smallint||YES
dockanricd|character varying|30|YES
kinokbnno|character varying|30|YES
chgymd|character varying|8|YES
creymd|character varying|8|YES
upymd|character varying|8|YES
uphms|character varying|6|YES
