          event_time           |      action       |          resource          |          actor_id           |              request_id               |               trace_id               |                                                                                                                                                                                                          payload                                                                                                                                                                                                           
-------------------------------+-------------------+----------------------------+-----------------------------+---------------------------------------+--------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 2025-12-26 15:28:57.498052+09 | ORCA_MASTER_FETCH | /orca/master/hokenja       | 1.3.6.1.4.1.9414.70.1:admin | 831fd6a0-eaa2-41a1-b30f-cd589b2bb680  | 831fd6a0-eaa2-41a1-b30f-cd589b2bb680 | {"traceId":"831fd6a0-eaa2-41a1-b30f-cd589b2bb680","queryPref":"01","keywordPresent":true,"resultCount":0,"keywordLength":2,"masterType":"orca06-hokenja","fallbackUsed":false,"totalCount":0,"version":"20240426","missingMaster":false,"size":100,"httpStatus":503,"emptyResult":true,"cacheHit":false,"runId":"20251219T144408Z","snapshotVersion":null,"page":1,"dataSource":"server","status":"failed"}
 2025-12-26 15:28:57.465945+09 | ORCA_MASTER_FETCH | /orca/master/hokenja       | 1.3.6.1.4.1.9414.70.1:admin | 476cf383-d188-4619-80e0-210e838d6ac9  | 476cf383-d188-4619-80e0-210e838d6ac9 | {"traceId":"476cf383-d188-4619-80e0-210e838d6ac9","queryPref":"01","keywordPresent":true,"resultCount":0,"keywordLength":2,"masterType":"orca06-hokenja","fallbackUsed":false,"totalCount":0,"version":"20240426","missingMaster":false,"size":100,"httpStatus":503,"emptyResult":true,"cacheHit":false,"runId":"20251219T144408Z","snapshotVersion":null,"page":1,"dataSource":"server","status":"failed"}
 2025-12-26 15:28:57.436754+09 | ORCA_MASTER_FETCH | /orca/master/hokenja       | 1.3.6.1.4.1.9414.70.1:admin | 272ea533-8049-4b13-abe6-0430f76a8891  | 272ea533-8049-4b13-abe6-0430f76a8891 | {"traceId":"272ea533-8049-4b13-abe6-0430f76a8891","queryPref":"01","keywordPresent":true,"resultCount":0,"keywordLength":2,"masterType":"orca06-hokenja","fallbackUsed":false,"totalCount":0,"version":"20240426","missingMaster":false,"size":100,"httpStatus":503,"emptyResult":true,"cacheHit":false,"runId":"20251219T144408Z","snapshotVersion":null,"page":1,"dataSource":"server","status":"failed"}
 2025-12-26 15:28:57.411276+09 | ORCA_MASTER_FETCH | /orca/master/hokenja       | 1.3.6.1.4.1.9414.70.1:admin | 4a4c1def-3885-40c7-8f1e-c716d1132b0f  | 4a4c1def-3885-40c7-8f1e-c716d1132b0f | {"traceId":"4a4c1def-3885-40c7-8f1e-c716d1132b0f","queryPref":"01","keywordPresent":true,"resultCount":0,"keywordLength":2,"masterType":"orca06-hokenja","fallbackUsed":false,"totalCount":0,"version":"20240426","missingMaster":false,"size":100,"httpStatus":503,"emptyResult":true,"cacheHit":false,"runId":"20251219T144408Z","snapshotVersion":null,"page":1,"dataSource":"server","status":"failed"}
 2025-12-26 15:28:57.386029+09 | ORCA_MASTER_FETCH | /orca/master/hokenja       | 1.3.6.1.4.1.9414.70.1:admin | 232ba85b-3181-495f-8771-49735c10aba9  | 232ba85b-3181-495f-8771-49735c10aba9 | {"traceId":"232ba85b-3181-495f-8771-49735c10aba9","queryPref":"01","keywordPresent":true,"resultCount":0,"keywordLength":2,"masterType":"orca06-hokenja","fallbackUsed":false,"totalCount":0,"version":"20240426","missingMaster":false,"size":100,"httpStatus":503,"emptyResult":true,"cacheHit":false,"runId":"20251219T144408Z","snapshotVersion":null,"page":1,"dataSource":"server","status":"failed"}
 2025-12-26 15:28:57.356572+09 | ORCA_MASTER_FETCH | /orca/master/hokenja       | 1.3.6.1.4.1.9414.70.1:admin | bc4bc6a4-6ead-41ec-aa2a-c224c8743456  | bc4bc6a4-6ead-41ec-aa2a-c224c8743456 | {"traceId":"bc4bc6a4-6ead-41ec-aa2a-c224c8743456","queryPref":"01","keywordPresent":true,"resultCount":0,"keywordLength":2,"masterType":"orca06-hokenja","fallbackUsed":false,"totalCount":0,"version":"20240426","missingMaster":false,"size":100,"httpStatus":503,"emptyResult":true,"cacheHit":false,"runId":"20251219T144408Z","snapshotVersion":null,"page":1,"dataSource":"server","status":"failed"}
 2025-12-26 15:28:57.32607+09  | ORCA_MASTER_FETCH | /orca/master/hokenja       | 1.3.6.1.4.1.9414.70.1:admin | a3dde7e2-d08d-4ef0-8c42-fb19dbbb1f30  | a3dde7e2-d08d-4ef0-8c42-fb19dbbb1f30 | {"traceId":"a3dde7e2-d08d-4ef0-8c42-fb19dbbb1f30","queryPref":"01","keywordPresent":true,"resultCount":0,"keywordLength":2,"masterType":"orca06-hokenja","fallbackUsed":false,"totalCount":0,"version":"20240426","missingMaster":false,"size":100,"httpStatus":503,"emptyResult":true,"cacheHit":false,"runId":"20251219T144408Z","snapshotVersion":null,"page":1,"dataSource":"server","status":"failed"}
 2025-12-26 15:28:57.301277+09 | ORCA_MASTER_FETCH | /orca/master/hokenja       | 1.3.6.1.4.1.9414.70.1:admin | 105b49d9-d79b-4f90-b00d-8e5265710348  | 105b49d9-d79b-4f90-b00d-8e5265710348 | {"traceId":"105b49d9-d79b-4f90-b00d-8e5265710348","queryPref":"01","keywordPresent":true,"resultCount":0,"keywordLength":2,"masterType":"orca06-hokenja","fallbackUsed":false,"totalCount":0,"version":"20240426","missingMaster":false,"size":100,"httpStatus":503,"emptyResult":true,"cacheHit":false,"runId":"20251219T144408Z","snapshotVersion":null,"page":1,"dataSource":"server","status":"failed"}
 2025-12-26 15:28:57.275536+09 | ORCA_MASTER_FETCH | /orca/master/hokenja       | 1.3.6.1.4.1.9414.70.1:admin | 846e8227-7f13-447c-b8b4-65d613ae9c26  | 846e8227-7f13-447c-b8b4-65d613ae9c26 | {"traceId":"846e8227-7f13-447c-b8b4-65d613ae9c26","queryPref":"01","keywordPresent":true,"resultCount":0,"keywordLength":2,"masterType":"orca06-hokenja","fallbackUsed":false,"totalCount":0,"version":"20240426","missingMaster":false,"size":100,"httpStatus":503,"emptyResult":true,"cacheHit":false,"runId":"20251219T144408Z","snapshotVersion":null,"page":1,"dataSource":"server","status":"failed"}
(20 rows)

